"","C1","C2","C3","C4","C5","C6","K1","K2","K3","K4","K5","K6","R1","R2","R3","R4","R5","R6","SC1","SC2","SC3","SC4","SC5","SC6","SK1","SK2","SK3","SK4","SK5","SK6","SR1","SR3","SR4","SR5","SR6"
"ASV_937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14,12,0,0,0,0,0,16,0,0,11,0,17,0
"ASV_939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,16,6,0,0,0,0,0,0,0,13,0,5,8
"ASV_941",0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_942",0,10,0,0,17,0,0,10,0,0,8,12,0,11,0,4,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0
"ASV_943",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
"ASV_945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,15,0,0,12,17,0,0,22,0,0,0,0,0
"ASV_946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,29,0,25,0,23,18
"ASV_952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,5,0,15,10,0,59,0,0,0,8,0,0,0
"ASV_953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,24,23,0,0,0,9,0
"ASV_956",3,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,13,0,7,13,0,0,0,0,0,7,0,23,16,0,1
"ASV_961",0,9,21,17,2,0,13,0,3,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_962",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,27,0,0,14,0,0,18,0,0
"ASV_965",0,0,8,0,0,7,16,0,11,0,0,0,4,0,3,1,0,3,5,0,8,0,0,6,0,0,6,0,6,12,0,0,0,7,0
"ASV_966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,5,0,0,0,0,0,0
"ASV_968",3,0,0,0,1,4,5,5,6,0,5,2,7,3,5,3,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"ASV_970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0
"ASV_972",17,0,0,7,0,0,0,0,0,0,0,0,0,72,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,6,23,9,4,4,0,0,2,0
"ASV_977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,14,14,9,1,0,0,11,0,6,5,0,0,9
"ASV_978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,3,0,9,6,9,5,16,0,0,0,9,0
"ASV_979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,23,0,8,0,3,0,0,13
"ASV_980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"ASV_982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,11,5,6,0,12,8,2,14,4,2,4,12,4,15,0
"ASV_983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,5,3,0,1,34,0,4,8,0,9,0,0,0
"ASV_987",37,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_988",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,5,3,13,5,0,0,12,10,0,0,5,0,0,14,17,0,7
"ASV_990",0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,36,0,0,0,0,0,0,0,0
"ASV_991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,7,14,7,15,8,0,8
"ASV_992",0,0,0,0,11,0,0,0,5,0,1,15,0,9,0,0,0,0,0,0,0,13,0,10,23,4,0,0,0,1,0,0,0,0,0
"ASV_997",0,0,0,0,0,3,11,6,6,2,1,6,1,0,0,1,0,0,0,0,6,5,0,1,0,9,4,0,0,1,0,0,5,1,0
"ASV_998",0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,0,61,0,0,0,0,0,0
"ASV_999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,11,21,25,0,0,0,0,0,3,0,0,0,0
"ASV_1002",11,11,18,51,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1003",7,0,2,0,9,0,9,9,6,5,15,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0,0,0,16,13,0,0,0,8,0,1,0,0,0,0
"ASV_1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,17,0,0,0,0,16,14,0,18,0,0,0,0
"ASV_1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,7,0,0,0,0,0
"ASV_1011",0,5,4,0,0,0,0,5,6,0,9,0,0,0,0,0,3,0,6,7,3,0,1,0,0,6,4,0,1,4,0,0,1,0,0
"ASV_1015",0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,8,9,6,0,0,0,3,7,14,0,0
"ASV_1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,4,2,3,0,11,0,4,1,5,7,3,8,5
"ASV_1018",3,0,0,0,41,13,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,26,12,0,10,5,0,2,0,0,9
"ASV_1020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0
