"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_5478","Bacteria","Firmicutes","Clostridia","Clostridiales","Oxobacteraceae","Oxobacter"
"ASV_5479","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ASV_5480","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea"
"ASV_5481","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales",NA,NA
"ASV_5482","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_5483","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA
"ASV_5484","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA
"ASV_5485","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA
"ASV_5486","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"ASV_5487","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",NA
"ASV_5488","Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409",NA
"ASV_5489","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_5490","Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculaceae","Desulfofarcimen"
"ASV_5491","Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfotomaculaceae","Desulfotomaculum"
"ASV_5492","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"ASV_5493","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_5494","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Candidatus Solibacter"
"ASV_5495","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ASV_5496","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora",NA
"ASV_5497","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","NS11-12 marine group",NA
"ASV_5498","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA
"ASV_5499","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV_5500","Bacteria","Firmicutes","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Syntrophomonas"
