name1,name2,D.ij.bMNTD,G.ij.bMNTD,Ds.ij.bMNTD,Gs.ij.bMNTD,C.ij.bMNTD,E.ij.bMNTD,ST.ij.bMNTD,MST.ij.bMNTD,bNTI.wt,RC.bMNTD.wt
K6,K3,0.00156702117051632,0.00399084800355093,0.00111465908088679,0.00283878421765753,0.998885340919113,0.997161215782343,0.998273950906934,0.391975944374293,-0.668946314361255,-0.991991991991992
s1_xgl_root_1,K3,0.0501631444524055,0.0386825841350661,0.0356822265976701,0.0275158335379169,0.96431777340233,0.972484166462083,0.77113555295099,0.764659976026527,0.286905292857082,0.775775775775776
s1_xgl_root_2,K3,0.0452217366219247,0.0290051269276149,0.0321672867779383,0.0206320302051102,0.967832713222062,0.97936796979489,0.641397900529818,0.633843345371725,0.661782388201818,0.857857857857858
s1_xgl_root_3,K3,0.0495676532793527,0.0335334878189561,0.0352586396952593,0.0238531600047817,0.964741360304741,0.976146839995218,0.676519576788688,0.668614997296005,0.650519674073997,0.80980980980981
s1_xgl_soil_1,K3,0.0574707775281253,0.0518308297830187,0.0408803181875596,0.0368684904674921,0.95911968181244,0.963131509532508,0.901864077924707,0.8981074535471,0.11681155264242,0.677677677677678
s1_xgl_soil_2,K3,0.0576402414889776,0.0498189517032912,0.0410008618958395,0.0354373941853236,0.95899913810416,0.964562605814676,0.864308518083117,0.859323302501161,0.16073358414153,0.70970970970971
s1_xgl_soil_3,K3,0.0601621347170653,0.0570431426743981,0.042794743970061,0.0405761314401313,0.957205256029939,0.959423868559869,0.948156892082779,0.94596433378811,0.0623739180733584,0.605605605605606
s2_xgl_root_1,K3,0.0458227381460578,0.0223175269663424,0.032594793322908,0.015874982778805,0.967405206677092,0.984125017221195,0.48704044911516,0.47876586621764,1.45609645809773,0.903903903903904
s2_xgl_root_2,K3,0.0463160440063449,0.0206169381912744,0.0329456934046488,0.0146653139136683,0.967054306595351,0.985334686086332,0.445135991935108,0.436877625541869,1.6670731887984,0.92992992992993
s2_xgl_root_3,K3,0.0471783643007245,0.0268804723056146,0.033559082148112,0.0191207133111717,0.966440917851888,0.980879286688828,0.569762701696757,0.561375895951883,0.61126667101828,0.885885885885886
s2_xgl_soil_1,K3,0.0540823774414606,0.0389282011042773,0.0384700693681171,0.0276905466753667,0.961529930631883,0.972309453324633,0.719794560555583,0.711814547841424,0.388487370650647,0.765765765765766
s2_xgl_soil_2,K3,0.0485865433299861,0.0300835916751177,0.034560753071271,0.0213991675908956,0.965439246928729,0.978600832409104,0.619175385060806,0.610847853049863,0.809043297333871,0.845845845845846
s2_xgl_soil_3,K3,0.0572944966863004,0.0384210505151896,0.040754925471224,0.0273297985118193,0.959245074528776,0.972670201488181,0.670588847748382,0.661333151002652,0.493712922636778,0.827827827827828
SK1,K3,0.00606316729714382,0.0144649760428692,0.00431287375937005,0.0102892782844034,0.99568712624063,0.989710721715597,0.993997708348808,0.416645999332119,-0.996867478630155,-1
SK2,K3,0.0064835290391952,0.0137981529563478,0.00461188697109365,0.00981495131121321,0.995388113028906,0.990185048688787,0.99477282853591,0.467427672502193,-0.987776589689444,-0.995995995995996
SK3,K3,0.00994227526299508,0.020001935604527,0.00707217465538264,0.0142278480829667,0.992927825344617,0.985772151917033,0.992793359955342,0.49348348375423,-0.75090331426708,-0.963963963963964
SK4,K3,0.00647585244540889,0.015196387057717,0.00460642642905683,0.010809548172839,0.995393573570943,0.989190451827161,0.993768171798087,0.423488558238593,-1.04025449449207,-0.997997997997998
SK5,K3,0.00717043665388905,0.0154851391986689,0.00510050054240648,0.0110149443743029,0.994899499457594,0.988985055625697,0.994055234890438,0.460300033522552,-0.991166480505491,-0.995995995995996
SK6,K3,0.00660996110910845,0.0168515946490456,0.00470182108142713,0.0119869363327062,0.995298178918573,0.988013063667294,0.992680469626505,0.389374384718798,-0.944418582887593,-1
K5,K4,0.000848919797116036,0.00334257152267055,0.000603856654015835,0.0023776498820566,0.999396143345984,0.997622350117943,0.998225135007924,0.253521300393899,-0.808869716519658,-1
K6,K4,0.000766058218230929,0.00262449582723236,0.000544915260562631,0.0018668657205251,0.999455084739437,0.998133134279475,0.998677328796314,0.29150169230488,-0.760872857138599,-1
s1_xgl_root_1,K4,0.0174680025537805,0.0400225667232085,0.0124254017992045,0.0284689947256569,0.987574598200795,0.971531005274343,0.98375455084033,0.42936344201051,-0.443118204070921,-0.92992992992993
s1_xgl_root_2,K4,0.0136973217354138,0.0297331047335804,0.00974322768796824,0.0211498579711743,0.990256772312032,0.978850142028826,0.988481138829706,0.455369336948093,-0.551472450300804,-0.957957957957958
s1_xgl_root_3,K4,0.0170838875615653,0.030957912319845,0.0121521717546887,0.0220210924663145,0.987847828245311,0.977978907533686,0.990009675144849,0.546329280873198,-0.652811852832719,-0.891891891891892
s1_xgl_soil_1,K4,0.0518823872857297,0.0520191619395318,0.0369051645339731,0.0370024555679197,0.963094835466027,0.96299754443208,0.99989898083723,0.997269933543079,-0.00253517562383611,0.511511511511512
s1_xgl_soil_2,K4,0.0455919762161285,0.0491169581435164,0.0324306469249153,0.0349380496258182,0.967569353075085,0.965061950374182,0.99740855506333,0.925827429853027,-0.0649171085519293,0.409409409409409
s1_xgl_soil_3,K4,0.0678425772449775,0.0566279749242315,0.048258023707466,0.0402808128372166,0.951741976292534,0.959719187162783,0.834696693784931,0.827758673134633,0.204307729213437,0.703703703703704
s2_xgl_root_1,K4,0.0153679988823862,0.0213161464091026,0.01093161970726,0.0151626771938185,0.98906838029274,0.984837322806182,0.995722179001106,0.717871656554284,-0.381630133547359,-0.345345345345345
s2_xgl_root_2,K4,0.0145808119628237,0.0213320974589669,0.0103716751036038,0.0151740235514271,0.989628324896396,0.984825976448573,0.995147321143697,0.680198278336886,-0.375422858472869,-0.401401401401401
s2_xgl_root_3,K4,0.0185510127662105,0.0417071385161044,0.0131957724812933,0.029667270333981,0.986804227518707,0.970332729666019,0.983308241499831,0.437367903677684,-0.352950981084656,-0.781781781781782
s2_xgl_soil_1,K4,0.0247857673274182,0.0333856557155511,0.0176307003045471,0.0237480035463959,0.982369299695453,0.976251996453604,0.993772908779066,0.73778464329566,-0.185996142200794,-0.077077077077077
s2_xgl_soil_2,K4,0.0192178286127578,0.0246177085518701,0.0136700943045194,0.0175111561376832,0.986329905695481,0.982488843862317,0.996105702756264,0.777610500807813,-0.340304087688074,-0.207207207207207
s2_xgl_soil_3,K4,0.0383163140974968,0.0376677045362634,0.0272552970301051,0.0267939257666011,0.972744702969895,0.973206074233399,0.983072234986305,0.982606186436897,0.0161444124135047,0.497497497497497
