"","ID","prev","RA.mean","log.mean","filtN","ra","prevN","condition"
"ASV_2175","ASV_2175",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2187","ASV_2187",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2190","ASV_2190",0.5,7.55766320489832e-05,-4.12161246562266,"Retain","Discard","Discard","Both_Fail"
"ASV_2194","ASV_2194",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2197","ASV_2197",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2205","ASV_2205",0.166666666666667,2.80441976555051e-05,-4.55215698064185,"Retain","Discard","Discard","Both_Fail"
"ASV_2206","ASV_2206",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2224","ASV_2224",0.666666666666667,0.000130891949574114,-3.88308706363301,"Retain","Discard","Discard","Both_Fail"
"ASV_2228","ASV_2228",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2229","ASV_2229",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2238","ASV_2238",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2239","ASV_2239",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2244","ASV_2244",0.166666666666667,8.85606241752792e-06,-5.05275933121104,"Retain","Discard","Discard","Both_Fail"
"ASV_2246","ASV_2246",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2248","ASV_2248",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2249","ASV_2249",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2253","ASV_2253",0.5,8.09468646509491e-05,-4.09179996829618,"Retain","Discard","Discard","Both_Fail"
"ASV_2258","ASV_2258",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2264","ASV_2264",0.166666666666667,7.3800520146066e-06,-5.13194057725866,"Retain","Discard","Discard","Both_Fail"
"ASV_2265","ASV_2265",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2276","ASV_2276",0.5,7.27106457280286e-05,-4.1384019984606,"Retain","Discard","Discard","Both_Fail"
"ASV_2294","ASV_2294",0.666666666666667,0.000247575820699225,-3.60629177261504,"Retain","Discard","Discard","Both_Fail"
"ASV_2315","ASV_2315",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2316","ASV_2316",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2323","ASV_2323",0.5,8.42122874712543e-05,-4.07462453567819,"Retain","Discard","Discard","Both_Fail"
"ASV_2339","ASV_2339",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2345","ASV_2345",0.333333333333333,4.77558569431649e-05,-4.32097335743917,"Retain","Discard","Discard","Both_Fail"
"ASV_2346","ASV_2346",0.166666666666667,3.83762704759543e-05,-4.41593723362386,"Retain","Discard","Discard","Both_Fail"
"ASV_2377","ASV_2377",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2380","ASV_2380",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2388","ASV_2388",0.166666666666667,4.87083432964036e-05,-4.31239664171679,"Retain","Discard","Discard","Both_Fail"
"ASV_2389","ASV_2389",0.166666666666667,2.36161664467411e-05,-4.62679059893876,"Retain","Discard","Discard","Both_Fail"
"ASV_2421","ASV_2421",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2422","ASV_2422",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2435","ASV_2435",0.666666666666667,0.00034488501890476,-3.46232567008115,"Retain","Discard","Discard","Both_Fail"
"ASV_2439","ASV_2439",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2440","ASV_2440",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2446","ASV_2446",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2449","ASV_2449",0.166666666666667,4.42803120876396e-06,-5.35378932687502,"Retain","Discard","Discard","Both_Fail"
"ASV_2455","ASV_2455",0.5,0.000113661054045864,-3.94438832080422,"Retain","Discard","Discard","Both_Fail"
"ASV_2466","ASV_2466",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2467","ASV_2467",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2474","ASV_2474",0.666666666666667,0.000109641821323999,-3.96002375875464,"Retain","Discard","Discard","Both_Fail"
"ASV_2478","ASV_2478",0.5,7.48445856990865e-05,-4.12583961130034,"Retain","Discard","Discard","Both_Fail"
"ASV_2480","ASV_2480",0.166666666666667,4.72323328934822e-05,-4.32576060327478,"Retain","Discard","Discard","Both_Fail"
"ASV_2482","ASV_2482",0.166666666666667,2.95202080584264e-05,-4.5298805859307,"Retain","Discard","Discard","Both_Fail"
"ASV_2497","ASV_2497",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2506","ASV_2506",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2507","ASV_2507",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2516","ASV_2516",0.666666666666667,0.000337438165393025,-3.47180579880021,"Retain","Discard","Discard","Both_Fail"
"ASV_2526","ASV_2526",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2544","ASV_2544",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2550","ASV_2550",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2555","ASV_2555",0.166666666666667,5.8120949696318e-05,-4.2356672979442,"Retain","Discard","Discard","Both_Fail"
"ASV_2557","ASV_2557",0.666666666666667,9.6955496461861e-05,-4.01342756548788,"Retain","Discard","Discard","Both_Fail"
"ASV_2563","ASV_2563",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2587","ASV_2587",0.166666666666667,3.12373098428763e-05,-4.50532637462511,"Retain","Discard","Discard","Both_Fail"
"ASV_2591","ASV_2591",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2593","ASV_2593",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
"ASV_2595","ASV_2595",0.5,0.000224697515503986,-3.64840172957853,"Retain","Discard","Discard","Both_Fail"
"ASV_2597","ASV_2597",0,0,-Inf,"Retain","Discard","Discard","Both_Fail"
