"","K1","K2","K3","K4","K5","K6","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","SK1","SK2","SK3","SK4","SK5","SK6","XF1_1","XF1_2","XF1_3","XF1","XF2_1","XF2_2","XF2_3","XF2","XF3","XF4","XF5","XF6"
"ASV_1429",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,21,44,46,59,24,14,0,17,0
"ASV_1430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,42,29,22,27,51,12,20,32,21
"ASV_1435",18,11,10,0,9,0,0,0,0,0,5,5,0,0,0,0,0,27,38,8,0,20,17,8,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1437",0,0,0,0,0,0,13,19,9,4,0,0,30,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1440",0,0,0,0,0,0,0,0,0,56,37,39,0,0,0,18,17,87,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"ASV_1443",0,0,0,0,0,0,0,29,8,0,0,0,59,36,55,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
"ASV_1447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,12,0,33,15,16,20,21,21,22,26,25
"ASV_1449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,19,10,0,43,43,74,20,11,0,0,0
"ASV_1450",10,0,0,0,0,0,0,9,0,27,25,11,6,0,8,0,12,141,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"ASV_1455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,35,0,37,14,25,26,10,27,23,0,0
"ASV_1456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,45,0,12,0,53,21,28,35,15
"ASV_1457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,21,24,36,91,0,32,26,0,0
"ASV_1462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,76,14,0,31,0,29,14,45,0,0,0
"ASV_1464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,12,0,42,45,26,79,27
"ASV_1465",0,0,0,0,0,0,0,0,0,18,12,17,0,8,11,5,10,165,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0
"ASV_1466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,13,22,15,19,31,0,43,38,17,15
"ASV_1468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,23,27,28,28,65,24,20,20,14
"ASV_1471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,21,14,0,9,31,26,29,30,28,12,23,10
"ASV_1474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,15,0,0,0,16,0,6,24,13
"ASV_1476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,8,76,32,24,46,18
"ASV_1480",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,21,0,0,0,0,3,0,0,0,32,0,0,3,0
"ASV_1481",0,0,0,0,0,0,0,0,0,16,17,13,0,0,0,0,0,0,0,0,0,0,0,0,32,14,10,0,40,55,58,0,0,0,0,0
"ASV_1487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,0,0,44,61,104,12,0,2,0,0
"ASV_1488",0,0,14,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,11,15,0,0,0,20,0,0,0,15,23,9,14,8
"ASV_1490",0,0,0,0,0,0,0,0,0,18,15,20,0,0,0,22,17,153,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ASV_1493",0,0,0,0,0,0,0,7,0,7,24,10,0,5,10,0,0,47,26,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,23,19,52,46,55,0,0,15,0
"ASV_1500",10,15,0,12,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,74,0,0,0,0
"ASV_1502",0,0,0,0,0,0,0,0,0,0,6,8,9,0,0,16,0,14,21,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,11,46,49,45,35,0,0,18,10
"ASV_1512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,11,0,0,26,27,38,48,0,8,50,22
"ASV_1520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,36,0,29,20,36,42,0,0,14,0,0
"ASV_1527",0,0,0,0,0,0,5,25,54,14,13,0,32,30,47,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,68,0,0,0,0,0,0,22,0,0,16,41,23,56,0,9,0,0,0
"ASV_1532",0,0,0,0,0,0,0,0,0,0,22,27,28,0,31,41,38,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,33,11,0,22,29,72,0,3,0,0,0
"ASV_1542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,16,7,0,43,56,42,0,0,0,0,9
"ASV_1543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,0,14,17,25,35,17,32,39,0,0
"ASV_1546",0,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,42,0,20,11,0,0,10,23,13,0,0,0,0,0
"ASV_1548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,0,0,52,0,6,0,17,55,36,20,19
"ASV_1549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,44,14,47,12,0,14,0,43,0,19,0
"ASV_1551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,34,52,78,33,11,10,0,0
