"","K1","K2","K3","K4","K5","K6","s1_xgl_root_1","s1_xgl_root_2","s1_xgl_root_3","s1_xgl_soil_1","s1_xgl_soil_2","s1_xgl_soil_3","s2_xgl_root_1","s2_xgl_root_2","s2_xgl_root_3","s2_xgl_soil_1","s2_xgl_soil_2","s2_xgl_soil_3","SK1","SK2","SK3","SK4","SK5","SK6","XF1_1","XF1_2","XF1_3","XF1","XF2_1","XF2_2","XF2_3","XF2","XF3","XF4","XF5","XF6"
"ASV_2727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,5,23,11,13,21,6
"ASV_2757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,16,7,7,11,6
"ASV_2763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,14,8,19,10,10,0,19,0
"ASV_2774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,15,0,3,0,7,29,14,0,1
"ASV_2778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,3,0,11,10,13,39,6
"ASV_2782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,9,8,13,16,15,0
"ASV_2814",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,21,11,22,0,18,0,6,4
"ASV_2827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,0,0,4,17,0,15,9,13
"ASV_2901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,29,10,14,9,5
"ASV_2908",0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,10,11,0,0,0,4,0,0,15,0,0,0,0,0,0,11,0,0,0
"ASV_2912",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,6,16,7,7,15,0,7,8,16,0
"ASV_2938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,5,8,13,31,11,0,0,0,0
"ASV_2940",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,14,13,27,0,0,0,5,4
"ASV_2942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,0,11,11,11,6,11,0
"ASV_2957",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,12,0,0,17,13,26,0,7,6,0,0
"ASV_2959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,9,17,18,9,6,0,0,5
"ASV_2960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,8,7,7,24,12,8,0
"ASV_2984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,6,2,11,10,6,7,6,0,0
"ASV_3013",5,2,0,7,0,1,0,0,0,13,0,20,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,6,7,25,4,0,10,5
"ASV_3030",0,30,0,17,0,0,0,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_3040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,14,0,0,6,0,15,13,11,0
"ASV_3048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,11,13,6,13,9,8,0,0,0
"ASV_3049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,4,5,9,14,9,15,6,0,0
"ASV_3059",3,9,0,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,0
"ASV_3076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,14,0,0,8,7,14,16,8,6
"ASV_3077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,20,14,12,11,7
"ASV_3083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27,4,23,12,4,11
"ASV_3094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,10,4,0,9,10,12,19,5,0,0,0,0
"ASV_3113",0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,33,14,0
"ASV_3177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,20,8,5,16,8
"ASV_3268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,6,0,24,8,7,9,9,0
"ASV_3285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,3,5,12,17,5,13,0,4
"ASV_3289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,0,0,11,8,3,0,5,6,0,0
"ASV_3291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,8,2,6,14,0,7,14,0,11
"ASV_3303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,2,6,0,0,16,8,0,16,0,0,0,0
"ASV_3359",0,6,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0,0,0,3,4,0,0,0
"ASV_3411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,9,27,0,10,0,5
"ASV_3455",0,0,0,0,0,0,0,0,0,2,3,5,3,2,5,4,4,5,0,0,0,0,0,0,5,9,0,0,0,18,1,0,0,0,0,0
"ASV_3501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,5,30,16,0,3,0
"ASV_3590",0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,4,0,35,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,0,0
"ASV_3628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,8,11,5,0,0,12,0,8,0
"ASV_3630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,2,0,8,16,3,5,3,1,3
"ASV_3654",0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,1,20,1,6,0,0
"ASV_3687",0,0,0,0,0,0,5,6,0,4,6,2,14,0,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_3727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,5,2,14,7,4,1,0,0,3,0
"ASV_3859",0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,21,9,5,0,3,0,7,0,0,0,0,0
"ASV_3890",5,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,0
"ASV_3980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,10,5,3,8,0,5,6,0,0
"ASV_4017",0,0,0,0,0,0,2,1,4,0,4,3,0,8,3,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,6,3,10,10,0,7,4,0
"ASV_4179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,5,5,2,11,6,0,3
"ASV_4485",0,1,1,4,0,3,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4592",0,0,0,0,0,0,0,0,0,2,3,4,6,4,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5643",3,0,0,0,0,1,2,9,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5678",0,0,0,0,0,0,0,0,5,0,0,3,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0
"ASV_5988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,12,5
