Symbol,cerk1_GxM_logFC,cerk1_GxM_logCPM,cerk1_GxM_F,cerk1_GxM_PValue,cerk1_M_logFC,cerk1_M_logCPM,cerk1_M_F,cerk1_M_PValue,cerk1_G_logFC,cerk1_G_logCPM,cerk1_G_F,cerk1_G_PValue,Kit_logFC,Kit_logCPM,Kit_F,Kit_PValue,cerk1_microbiota_rep1_cpm_zscore,cerk1_microbiota_rep2_cpm_zscore,cerk1_microbiota_rep3_cpm_zscore,cerk1_germfree_rep1_cpm_zscore,cerk1_germfree_rep2_cpm_zscore,cerk1_germfree_rep3_cpm_zscore,kit_microbiota_rep1_cpm_zscore,kit_microbiota_rep2_cpm_zscore,kit_microbiota_rep3_cpm_zscore,kit_germfree_rep1_cpm_zscore,kit_germfree_rep2_cpm_zscore,kit_germfree_rep3_cpm_zscore
LOC9268730,0.528897613305122,4.03057763081977,2.69070097532633,0.121325820139115,1.10441264308222,4.03057763081977,22.7855933080369,0.000233541706641281,0.5755150297771,4.03057763081977,6.41720975238837,0.0226924009829635,-0.81374791930503,4.03057763081977,12.3818566430705,0.00302034741419744,1.02298231666243,-0.31656753561327,0.5216438041285,0.881105260963301,0.882556097628479,1.16629294496776,-0.741690768922819,-1.95628799185437,-2.07899897090931,-0.514902773752603,0.519839025400748,-0.283799900629194
LOC9271540,0.538065684990202,1.41228664024859,2.4475975497245,0.136897856515478,-1.17461337690498,1.41228664024859,22.9357248079673,0.00019064519254746,-1.71267906189518,1.41228664024859,48.3951885401649,2.90860701133322e-06,-0.297281656515047,1.41228664024859,1.6096899282033,0.222343771489312,-1.11520709507164,-1.0819255600901,-1.030465125217,-1.31277900777039,-1.52228527214085,-1.34828414185569,-0.103911197509757,0.403504421429558,0.952648994221154,0.911024206284184,0.899259307826529,0.756365413024954
LOC4325014,0.542231081623451,1.32574167711885,2.4384990505351,0.137581160530187,1.40793880791786,1.32574167711885,33.5819208840855,2.53608244179327e-05,0.865707726294406,1.32574167711885,11.9268796844736,0.00319218931861299,0.569845428151888,1.32574167711885,5.07628158381051,0.038353592312297,2.21014726768154,0.714575314089616,1.08823934842667,-0.398180521813167,-0.129142580075121,-0.053962235878813,-0.332796858951394,-0.34360963898157,-1.34441897776161,-1.32247935889826,-1.52701957179031,-1.48641189114994
LOC107282006,0.555029556803016,1.72162236392704,1.08328635120406,0.313146541982168,6.40422867236135,1.72162236392704,446.177507762207,2.81371291736644e-13,5.84919911555834,1.72162236392704,351.023752048194,1.84913040315597e-12,-0.0485215837171618,1.72162236392704,0.0108669568462963,0.918246262959553,0.721859625254703,0.70776330330477,0.66974907618655,0.424339590336688,0.5209598341814,0.607780591538859,-1.10688540926497,-1.52503930286166,-1.37941477512493,-1.15159183642449,-1.35186744594927,-1.63399878920687
LOC4326123,0.557763220206243,0.250124688939588,0.537242487614021,0.474496534662114,3.87775347277005,0.250124688939588,43.5582698559973,7.09211655562029e-06,3.31999025256381,0.250124688939588,37.4261273344555,1.6908916116909e-05,-1.33380928822042,0.250124688939588,5.10394143748429,0.0386379467983772,1.29913028550383,0.939065570640402,0.329127802162428,1.5030031061078,1.37709280453277,1.23901827907953,-0.911790082254848,-1.07082709949107,-1.15941481108407,-0.449215230803182,-0.488064355948406,-0.2476181634146
LOC112939033,0.566590893546307,1.58408259378194,1.97053026816337,0.179345498420847,1.0812142220972,1.58408259378194,14.7316424712155,0.00143149619228319,0.514623328550896,1.58408259378194,3.13023716090223,0.095747496683354,0.660352530650969,1.58408259378194,5.14822649473228,0.0373326744508546,1.77113843914723,1.58598462521753,1.21138280754461,-0.838475678192179,-0.903558798766845,0.670076865152198,-0.191649843361656,0.230652568354529,-0.0777673925721886,-0.67780655355103,-1.16622635962103,-1.00528034741866
LOC107275698,0.569105735915732,0.930858815978769,2.79793113249439,0.11345509260684,1.21606939153039,0.930858815978769,24.3965508709246,0.000140018863181887,0.646963655614654,0.930858815978769,7.44187848078975,0.0147039973936388,-0.808224017451112,0.930858815978769,10.630567210084,0.00481191564968828,0.893665142952574,-0.452191797517295,0.808994558964625,0.897387449082003,0.822099812916419,0.974735959118518,-0.870423253360485,-2.28112618821175,-1.93497252076537,0.0964788660103372,-0.961514325918205,0.0262475457336075
LOC4348053,0.578675111126351,-0.120160427722209,1.34582616777375,0.262709078106883,1.76740094608155,-0.120160427722209,19.5556193087729,0.000409066577234611,1.1887258349552,-0.120160427722209,14.6935114627845,0.00142174586613078,-2.89509383898982,-0.120160427722209,56.5386799659853,1.08860956203017e-06,-0.100018266563963,-0.54207291595814,-0.455893387068409,1.13245131182264,1.28128387347375,1.1131145880194,-1.47097678753315,-1.48304280810384,-1.18230494636406,0.197061235683383,0.685264582141308,0.217835634689141
LOC9271911,0.580268887750382,1.52922811287932,5.62443798658645,0.0303352052094203,1.32990227516654,1.52922811287932,55.611709636267,1.21040692453639e-06,0.749633387416163,1.52922811287932,19.4821719912877,0.000416259071076232,-1.18070131243029,1.52922811287932,43.6403922743767,5.48387818351584e-06,0.194766498330662,0.491021917612533,-0.195008386163947,1.1803061600273,1.43703753054459,0.760154092580559,-1.96931931738063,-1.5983652712761,-2.20548263406541,-0.313133705254934,0.289596965298584,-0.157680582629423
LOC4326410,0.592235720138477,7.05566246754509,3.31252917737282,0.0890173198876535,2.43334695056524,7.05566246754509,100.732875878095,5.34349567943746e-08,1.84111123042677,7.05566246754509,60.9850751268792,1.25610744587169e-06,-1.45467635772619,7.05566246754509,37.9692633681752,1.92274338907913e-05,0.0888048501521663,0.572556812868502,0.0405974073743173,0.886077787591212,0.920097620292319,1.10985969475781,-1.30817630562035,-1.87177972942335,-2.32507969830598,-0.571198985065497,-0.434625251387258,-0.666997022599693
